,Name,Comments,Likes,Replies,Published
2531,Lindsay Monroe,"Even without taking Chadwick’s passing into consideration, this was still a well-done and emotional trailer that didn’t reveal much but still gave you feels and generated hype for the film.

It seems they are pulling no punches with this film. Can’t wait till November",342, 6 replies,2 days ago
2532,TyJo,,0,0 reply,7 hours ago
2533,Matt Martin,I can already tell this one will be just as shitty as the first one.,1,0 reply,22 minutes ago
2534,Welcome2MyWorld,I woke up today with high hopes for the Fantastic Four. What I got was just as good. I love the colors and Namor’s lookRIP Chadwick Boseman,78,0 reply,3 days ago
2535,Prabhat Shukla,1:33   007,1,0 reply,9 hours ago
2536,Antoine West,"This movie is going to be amazing I can't wait to watch it, Chadwick, you will always be in our hearts rest in peace long live the king Wakanda forever",103, 2 replies,3 days ago (edited)
2537,feelinsadtbh,"Defiling graves for money now, i see.",0,0 reply,7 minutes ago
2538,Top Views,There is only one black panther i know and he will remain forever. Cant see any one in that suit again. Rest in peace sir.,0,0 reply,1 day ago
2539,Cureetos,we watching Avatar???,1,0 reply,7 hours ago
2540,Marty,I cannot get over the soundtrack!,0,0 reply,26 seconds ago
2541,Solid Snake,This trailer is easily by far one of the greatest trailers i've ever seen. It has so much energy and it makes me emotional and gives me goosebumps. I'm very excited to see this play out!  Rest In Peace King Chadwick Boseman. Wakanda forever!!!,88,0 reply,3 days ago
2542,Arturo Cabral,Namor,0,0 reply,7 hours ago
2543,Thomas Rivas,I hope waititi or wtv his name is didn’t direct this .. or it will become into another mcu comedy parody,0,0 reply,8 hours ago
2544,The Battle Rabbit,"Okay... so, um, what is this movie about?",0,0 reply,5 hours ago
2545,martrai,this is interesting can't wait anyomore.,0,0 reply,1 day ago
2546,Kenneth Enyi,I thought the black panther dude was dead,0,0 reply,5 hours ago
2547,Ivan Sue,it still hurts ,0,0 reply,3 hours ago
2548,Regina McAdory,This trailer gave me goosebumps and just made me full of emotion. A first for a movie trailer. It is full of love. I cannot wait to see the movie.,58,0 reply,3 days ago
2549,Dust,who's this new Black Panther?,0,1 reply,6 hours ago
2550,ItsmetheFrankie,Avatar vs MCU?,0,0 reply,4 hours ago
2551,Willy Lukwago,"We don't need another trailer after this.
I want to go straight to the cinema with the emotions I got from this one.Please Marvel, don't give us another trailer. We don't want it.",201, 12 replies,1 day ago
2552,cheeseboiga,namor would beat up black panther,0,0 reply,10 hours ago
2553,R S,"Well, that's over two minutes of my life that I'll never get back! I earn a decent salary of $38/hr and I'd rather work than sit through this for two hours.",0,0 reply,1 hour ago
2554,Vishu Rao,This is by far the most amazing trailer I have ever seen. The transition in the music to Kendrick brought goosebumps!,87, 2 replies,2 days ago
2555,Jithesh Jithu,Chadwick,0,0 reply,4 hours ago
2556,Anime Edits,Bob Marley🇯🇲,0,0 reply,12 minutes ago (edited)
2557,Alexandra Lorentzatos,I got CHILLS watching this… my god this movie is going to be absolutely STUNNING if this trailer is anything to go by ,272,0 reply,3 days ago
2558,I'm a comedian,Pandering starter kit:,0,0 reply,5 hours ago
2559,ga ga,01:33,1,0 reply,2 hours ago
2560,Marcus,"It'll definitely be one of the most successful sequels of all time.

RIP Chadwick Boseman ",53,0 reply,3 days ago
2561,maka3230,Who is going to be black panther,0,0 reply,4 hours ago (edited)
2562,Guilherme Santos,Epic??? I dont get it…no woman no cry??? Ok…it will be alright…it’s a girl movie right?? The problem is that you have a little tiny percent of girls who want to pay and see this…I grew up with the comics and now…I give up… it’s supposed to be a fantasy movie  not a political statement ️ I’m done…Wankanda…for ever in my comic books ,0,1 reply,5 hours ago
2563,twoKnots,Honestly I love how we get a song that says we've lost and then theres the upbeat transition. Whos with me?,200, 2 replies,3 days ago
2564,kung fu kenny,King kendrick,1,0 reply,55 minutes ago
2565,AB CD,लौड़ा फ़ॉरएवर,0,0 reply,3 hours ago
2566,Jet Zavala,This is the first marvel trailer in a long time to send shivers down my spine,71,0 reply,3 days ago
2567,???,1:20,0,0 reply,2 hours ago
2568,Wesley Guerra,Angela Basset love youuuuuuuuuuuuuuu!,1,0 reply,6 hours ago
2569,Max Derrat,"I was honestly in the camp that I thought they should have recast Black Panther, but you know what... maybe honoring the job Chadwick did by not recasting birthed something unique and creative with this movie. I've loved everything that Ryan Coogler has done so far, and I believe that given the circumstances, he is giving over every inch of his creative being to this. WAKANDA FOREVER.",2K, 84 replies,4 days ago (edited)
2570,fierce248,I cried watching the entire trailer .......<3,1,0 reply,1 day ago
2571,Jack Fury,Commercial hell,1,0 reply,2 hours ago
2572,"Rabaria, Jacob B.",This is so sad,0,0 reply,2 hours ago
2573,Qlirim Berisha,this trailer literally got me chills and emotional at the same time,305, 8 replies,3 days ago
2574,Richard Pauly,I love to see the female black panther,0, 3 replies,10 hours ago
2575,trinadha rao,Miss u chadwick boseman.. May u soul rest in peace,0,0 reply,1 day ago
2576,sask350z,Glad this will be the last woke crap black panther,1,0 reply,37 minutes ago
2577,David Foster,They didn’t give away any plot to the story ! Showed just enough to keep me watching. Beautiful trailer with a beautiful message. I can’t wait!,44,0 reply,3 days ago
2578,Greater than Harrowk,Very good views:like considering the amount of views. So sad that Chadwick isn't here anymore,1,0 reply,1 day ago
2579,Héctor M,Tenoch Huerta I love you so much!,1,0 reply,4 hours ago
2580,Garrett Watts,I am typing this with a tear drop on my screen. This is absolutely stunning. Thank you for this beautiful Teaser. Absolutely unreal. Wakanda Forever :.-),5.6K, 133 replies,4 days ago
2581,Homem aranha,"A Marvel tem obrigação de ser um filme maravilhoso, que fique na memória por conta do nosso eterno pantera negra... nós vemos em novembro🇧🇷",36,0 reply,3 days ago
2582,Helloimchan,"I'm sure everyone put their heart and soul into this for Chadwick and everything they stand for. I know he's proud of his fellow cast members and the growth they will continue to show with this film. Many fans were excited with the first movie. Why do I feel like the theater will be crying with this movie..? Like, I feel that there will be standing ovations at the end of the film? We havent even seen much beside this trailer and I feel it may be great. Ryan hasn't disappointed yet and I doubt he'll disappoint with this too.",321, 4 replies,1 day ago
2583,Turnip,"Really interested in how they handle Boseman's passing. Hopefully, it is done with the utmost respect. I do like how this film seems to be focusing on Wakanda's war with Atlantis and exploring its status in the world. Another thing that caught my attention was the cinematography. Most Marvel films have the tendency to neglect this aspect of filmmaking, resulting in some pretty mediocre-looking movies. Coogler appears to be changing that up. It looks visually stunning.",323, 12 replies,3 days ago
2584,Lilly Kovacs,Only trailer I've ever watched that made me emotional and cry within the first 30 seconds. This movie is filled with his spirit because of the love that pours out just throughout this trailer. They did this for Chadwick all the way. Love it,234, 3 replies,3 days ago
2585,Wero,Orgullo de Tenoch Huerta en Marvel!! 🇲🇽🇲🇽🇲🇽,37,0 reply,2 days ago (edited)
2586,robin peterson,This looks so vulnerable and earnest. Making this had to have been an incredibly somber experience with Chadwick's passing. It looks like Ryan Coogler and team have taken what could have been just another Marvel sequel and turned it into a resonate story about processing grief and the weight that it carries. I am on board with all of this.,187,1 reply,3 days ago
2587,Bonnie Dykstra,This trailer is the closest I’ve ever come to crying at a trailer I had chills Rest In Peace Chadwick,37,0 reply,2 days ago
2588,VAIBHAV GURUNG,This trailer has the right pace to continue from where the story left from the last time. My best wishes to this movie and the entire team!! Can't wait to experience it on the big screen!!,41,0 reply,3 days ago
2589,terryts2,You can tangibly feel the pain of loss and love they had for him throughout this. It made it that much more epic. Can’t wait to see it,278,1 reply,4 days ago
2590,zepirothroth Totti,"Trailer gave me chills. Feels like a tribute, an homage to Chadwick. We will surely be thinking of him when we watch the movie",46,1 reply,4 days ago
2591,Habitual Flair,"I’ve watched this trailer about 10 times and haven’t grown tired of it. The movie looks exciting, emotional, and like we’ll be taken for a wild ride. A true masterclass in movie trailer excellence (not revealing too much while keeping the viewer interested) . Chadwick would love this!",129, 3 replies,1 day ago
2592,FoxDemonMaster,It's going to be hard for some people not to cry at this movie. I got sad just watching the trailer. Rest In Power Chadwick you will always be our King.,197,1 reply,4 days ago
2593,Sirius,"its been a long time we've lost the king. still i feel emotional about it. this is a good job. im glad they didnt erased Chadwick's character in this film tho many said we should move on.
I cannot express more appreciation and respect to all involved with this film. im so excited for it.",37,1 reply,3 days ago
2594,Bass Power,"Chadwick Boseman's scream of ""Wakada Forever"" still gives me chills ",43,1 reply,3 days ago
2595,Amindu Methsara,"Every second of this trailer gave me chills. Rest In Peace Chadwick Boseman, you will always be our Black Panther.",602, 3 replies,4 days ago (edited)
2596,Drew Feemster,"This will go down as one of the greatest trailers ever, so much power and emotion. You can feel the pain in Angela Bassett's voice, thats all real emotion and grief, wow this is gonna be beautiful. I'm so ready to witness it, Wakanda Forever ️",331,1 reply,3 days ago (edited)
2597,the flash31,This trailer gave me the feels and I can't wait to see it!! I can already feel that is going to be an awesome ride!!! Wakanda Forever!,36,0 reply,3 days ago
2598,Nel Smi,I’ve watched this over and over for so many reasons. First of which is the perfection by which this trailer was crafted. Every aspect finely tuned to evoke such visceral responses. It was on about my 30th watch that it seemed the general Danai may have been squaring off against the Dora? I’m so excited for this film and I applaud the monumental task of moving forward with the title character. Respect to all involved and I wish this project tremendous success and accolades. Most important I wish for us the fans an amazing experience.,121,1 reply,1 day ago
2599,Jacob Guerrero,One of the most beautiful trailers I’ve ever seen. Wakanda Forever!!!,33,0 reply,2 days ago
2600,Courtney King,"Can't stop watching this trailer! The music, the loss, the tribute... The feels.",74,1 reply,2 days ago
2601,Mark Moore,I think the trailer is great. Abstract in its presentation which gives us a great taste of the visuals. Can’t wait to watch this. I can already sense the respect that will be  given to Chadwick.,164, 3 replies,1 day ago
2602,gtaylor1229,"You can feel the emotion in this trailer, how the cast is channeling the sorrow of the lost of a fellow companion, a friend into their performance. Doing what they feel is the best route to the remembrance of Chadwick… ",290, 4 replies,4 days ago (edited)
2603,Orelle Soupprayin Padiathy,I watched this trailer so many times already. Can't  wait to see it on the big screen  ,80,1 reply,1 day ago
2604,Xavier • ꪜ,"The music (Kendrick always ), the pacing, and the whole vibe with Chadwick's presence being felt on such a powerful level, makes this the best MCU trailer in recent times. Hands down. Director Ryan Coogler clearly knows what he is doing, and love the respectful and tasteful way they are paying tribute to our King. I'm going to be a wreck watching this in theatres. Rest in Power, Chadwick Boseman ",373, 10 replies,3 days ago
2605,"B.T.Clarke ""Da Happy Dance Lady""","I can't even imagine how difficult this was to make without Chadwick I'm sure emotions were high but I must say, they did a phenomenal job my Gosh! I'm excited to see this movie. It's gonna hit Box office Billions mark my words.",138, 8 replies,3 days ago
2606,Forest Flood,"Gorgeous cinematography.  First black panther was pretty great, hope this ones even better",35,0 reply,2 days ago
2607,Ryan Babcock,I cannot watch this trailer without crying it’s genuinely the most beautiful and emotional trailer I have ever seen. Thank you to Ryan Coogler and the cast and crew ️,207, 4 replies,3 days ago
2608,Interludes: A Pure Lighthouse Production,"Ryan Coogler... . my goodness. Brilliance in 2 minutes. Such a rich, emotional and searing tribune to Chadwick.  Using the Kendrick song that got me through the pandemic of crazy and social unrest. How many times have I watched this with tears. Much respect to the entire cast & crew. Rest in Power, Chadwick... I know you'll be watching...",45,0 reply,1 day ago
